"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the goal of a Sprint Retrospective?","Showcase product features","Analyze user data","Identify improvements for future sprints","Hire new team members","C","The team uses the Sprint Retrospective to reflect and improve future processes."
"In Kanban, what does 'Lead Time' refer to?","Time for hiring","Total time from request to delivery","Time for code review","Time for design","B","Lead Time measures how long it takes from a work item request to its completion."
"In Scrum, who is responsible for maximizing product value?","Scrum Master","Tester","Product Owner","Business Analyst","C","The Product Owner ensures that the development team is working on the most valuable items."
"What is meant by 'Definition of Done'?","A task marked complete in a Kanban board","Criteria for releasing the final product","Shared agreement on what completion means for a work item","End of sprint log","C","The Definition of Done ensures transparency and quality by defining completion standards."
"What is a Spike in Agile development?","A backlog item to explore technical uncertainty","A team lead","A type of sprint","A failed build","A","Spikes are time-boxed tasks used to investigate unknowns or feasibility in Agile."
"What does 'Velocity' measure in Scrum?","Developer speed","Number of bugs fixed","Amount of work completed per sprint","Team attendance","C","Velocity indicates how much work (usually in story points) the team can complete per sprint."
"Which Agile principle encourages sustainable pace of work?","Deliver late","Work overtime","Maintain constant pace","Release yearly","C","Agile promotes working at a sustainable pace to prevent burnout and maintain productivity."
"In XP, what does Test-Driven Development (TDD) mean?","Skipping tests for speed","Writing test cases after development","Writing tests before writing code","Using manual QA","C","TDD requires writing tests first, then implementing code to pass those tests."
"Which Agile framework emphasizes continuous delivery without time-boxing?","Scrum","XP","Waterfall","Kanban","D","Kanban focuses on continuous flow rather than fixed iterations or time-boxes."
"What is the Agile Manifesto's stance on documentation?","Documentation is not needed","Comprehensive documentation is essential","Working software over comprehensive documentation","Only test plans should be documented","C","The Agile Manifesto values working software over comprehensive documentation but doesn't eliminate it."
"What role facilitates the Scrum ceremonies and supports the team?","Product Owner","Architect","Scrum Master","QA Lead","C","The Scrum Master is responsible for facilitating Scrum events and helping the team remove blockers."
"In Agile, what is the Product Backlog?","A to-do list for testers","A prioritized list of everything that might be needed in the product","A project budget","Sprint tasks","B","The Product Backlog contains all desired product work, prioritized by value."
"What is meant by 'Increment' in Scrum?","Sprint goal","A completed piece of functionality","User feedback","Backlog item","B","An Increment is a functional, potentially shippable product that results from a Sprint."
"What is MoSCoW prioritization in Agile?","A Russian technique","Must, Should, Could, Won’t","Monthly Scheduling Chart","Modeling of Software Components","B","MoSCoW is a prioritization technique: Must have, Should have, Could have, and Won’t have."
"In XP, how is design handled?","Designed upfront","No design needed","Continuous and evolving","Done only by leads","C","XP encourages continuous design that evolves through frequent feedback."
"What is the purpose of backlog refinement (grooming)?","Merge pull requests","Delete old backlog items","Break down and clarify upcoming backlog items","Set up CI/CD","C","Backlog refinement ensures that backlog items are well-defined and ready for planning."
"Which metric tracks how much scope has changed over time?","Velocity","Scope creep index","Burndown chart","Sprint goal ratio","C","Burndown charts reflect scope changes as deviations from planned progress."
"What is the INVEST criteria in user story writing?","Integration, Navigation, Events, Scope, Testing","Independent, Negotiable, Valuable, Estimable, Small, Testable","Indexing, Navigation, Evaluation, Speed, Testing","Independent, Navigable, Vetted, Estimated, Scalable, Testable","B","INVEST ensures good quality stories: Independent, Negotiable, Valuable, Estimable, Small, Testable."
"Which term describes unfinished work at the end of a sprint?","Technical debt","Bug backlog","Spillover","Churn","C","Spillover refers to work that was not completed in the planned sprint and may be re-planned."
"What is the ideal Scrum team size according to Scrum Guide?","3–9 members","10–15 members","1–2 members","20+ members","A","Scrum teams are recommended to have between 3 to 9 cross-functional members."
"What technique is used in XP to share design knowledge and reduce defects?","Stand-ups","Pair Programming","Daily builds","Release planning","B","Pair programming helps improve quality and share context between developers."
"Which ceremony marks the beginning of a Scrum Sprint?","Retrospective","Daily Scrum","Sprint Planning","Sprint Review","C","Sprint Planning initiates the sprint and sets the goal and scope of work."
"What is meant by Agile being iterative and incremental?","Repeated planning only","Tasks are divided based on roles","Work is done in repeated cycles with functional increments","Work is delivered once after planning","C","Agile delivers working software in small, usable increments through repeated iterations."
"What does 'Servant Leadership' mean in Agile?","Giving direct orders to the team","Managing salaries","Serving the team by removing impediments and enabling collaboration","Controlling tasks daily","C","Agile promotes servant leadership, where leaders empower and support teams rather than command them."
"What is a Swimlane in a Kanban board?","A queue of releases","A subtask","A horizontal categorization of work items","An automation rule","C","Swimlanes group work items horizontally on Kanban boards to represent classes of service or ownership."
"In XP, what is Refactoring?","Creating new features","Changing code without altering functionality","Deleting unused tests","Restructuring teams","B","Refactoring improves code structure without changing its external behavior."
"What is the output of Sprint Planning?","Updated documentation","Sprint Goal and Sprint Backlog","Retrospective items","Architecture diagram","B","Sprint Planning produces a goal and a set of tasks committed for the sprint."
"Which Agile framework heavily relies on engineering practices?","SAFe","Scrum","XP","PRINCE2","C","XP emphasizes practices like TDD, refactoring, continuous integration, and pair programming."
"Who can change the Product Backlog priority?","Scrum Master","QA Engineer","Product Owner","Developers","C","Only the Product Owner has authority to prioritize backlog items."
"What is Continuous Integration in Agile?","Merging code only at release","Deploying monthly","Frequently integrating code to detect issues early","Testing in staging environments","C","CI is the practice of integrating and testing code changes continuously to detect errors quickly."
"What happens if new work is discovered during a Sprint?","It is added without planning","It is ignored","It is added to the backlog for future prioritization","It causes sprint to fail","C","New work can be added to the Product Backlog and prioritized in future sprints."
"Which value is emphasized in the Agile Manifesto?","Processes over people","Working software over comprehensive documentation","Big design upfront","Contracts over collaboration","B","Agile values working software and customer collaboration over documentation and contracts."
